500 V Cs-137 (CoC) n#1,500 V Cs-137 (CoC) N#1,700 V Cs-137 (CoC) n#2,700 V Cs-137 (CoC) N#2,700 V Cs-137 (EoC) n#3,700 V Cs-137 (EoC) N#3,700 V Am-241 (CoC) n#4,700 V Am-241 (CoC) N#4,800 V Am-241 (CoC) n#5,800 V Am-241 (CoC) N#5,800 V Cs-137 (CoC) n#6,800 V Cs-137 (CoC) N#6,800 V Co-57 (CoC) n#7,800 V Co-57 (CoC) N#7,800 V Co-60 (CoC) n#8,800 V Co-60 (CoC) N#8,800 V Ba-133 (CoC) n#9,800 V Ba-133 (CoC) N#9
0,0,0,0,0,0,0,312,0,10,0,0,0,0,0,0,0,0
1,0,1,2354,1,917,1,3848,1,82,1,261,1,1,1,47,1,31
2,180,2,3299,2,1335,2,3008,2,232,2,620,2,5,2,107,2,85
3,2049,3,2061,3,770,3,15661,3,787,3,750,3,7,3,137,3,132
4,2482,4,2209,4,909,4,49249,4,3685,4,960,4,7,4,167,4,635
5,2769,5,3409,5,1485,5,12263,5,7209,5,2596,5,9,5,178,5,5131
6,2984,6,3010,6,1254,6,2458,6,3147,6,2696,6,14,6,185,6,2550
7,1933,7,2363,7,943,7,2478,7,789,7,1287,7,8,7,177,7,277
8,1872,8,2426,8,1021,8,1344,8,2504,8,1179,8,18,8,169,8,201
9,3507,9,2561,9,1098,9,329,9,17373,9,1113,9,13,9,203,9,316
10,12039,10,2680,10,1062,10,101,10,55882,10,1133,10,24,10,217,10,207
11,2373,11,2805,11,1184,11,68,11,40817,11,1289,11,26,11,219,11,241
12,27,12,3434,12,1403,12,54,12,6083,12,1996,12,31,12,394,12,483
13,15,13,3742,13,1578,13,61,13,1206,13,2127,13,39,13,397,13,1697
14,20,14,3439,14,1457,14,40,14,1217,14,1701,14,35,14,335,14,1687
15,23,15,3418,15,1390,15,33,15,1449,15,1375,15,35,15,240,15,357
16,12,16,3165,16,1381,16,33,16,1570,16,1290,16,28,16,249,16,124
17,18,17,3187,17,1279,17,31,17,1420,17,1246,17,25,17,229,17,124
18,13,18,3146,18,1236,18,35,18,1400,18,1301,18,38,18,231,18,117
19,19,19,3090,19,1212,19,34,19,1520,19,1269,19,80,19,254,19,112
20,10,20,3291,20,1281,20,51,20,1352,20,1317,20,44,20,201,20,126
21,6,21,3167,21,1267,21,45,21,710,21,1321,21,26,21,244,21,148
22,7,22,3126,22,1278,22,30,22,239,22,1378,22,21,22,227,22,135
23,9,23,3247,23,1346,23,20,23,64,23,1302,23,22,23,229,23,170
24,1,24,3271,24,1262,24,17,24,49,24,1444,24,14,24,228,24,182
25,0,25,3221,25,1230,25,14,25,46,25,1415,25,19,25,197,25,157
26,1,26,3139,26,1261,26,16,26,41,26,1403,26,13,26,202,26,142
27,3,27,2828,27,1209,27,15,27,31,27,1629,27,17,27,270,27,122
28,1,28,2323,28,881,28,13,28,36,28,1803,28,14,28,233,28,116
29,2,29,1732,29,749,29,16,29,19,29,1691,29,11,29,226,29,105
30,4,30,1370,30,562,30,9,30,29,30,1699,30,15,30,244,30,80
31,5,31,1283,31,529,31,7,31,25,31,1679,31,9,31,251,31,74
32,0,32,1180,32,491,32,12,32,19,32,1670,32,11,32,280,32,108
33,0,33,1074,33,488,33,9,33,24,33,1459,33,8,33,227,33,78
34,1,34,1028,34,418,34,4,34,14,34,1475,34,13,34,263,34,86
35,0,35,1112,35,439,35,8,35,13,35,1465,35,11,35,251,35,79
36,2,36,1304,36,542,36,10,36,11,36,1460,36,13,36,259,36,77
37,0,37,2975,37,1141,37,11,37,9,37,1398,37,14,37,252,37,114
38,3,38,8010,38,3109,38,4,38,12,38,1406,38,3,38,239,38,172
39,0,39,14466,39,5636,39,11,39,12,39,1350,39,9,39,230,39,256
40,0,40,14266,40,5473,40,10,40,15,40,1414,40,8,40,246,40,282
41,0,41,7140,41,2694,41,6,41,13,41,1374,41,8,41,249,41,362
42,0,42,1790,42,605,42,5,42,11,42,1385,42,11,42,223,42,428
43,0,43,266,43,72,43,6,43,18,43,1359,43,5,43,242,43,516
44,1,44,30,44,10,44,7,44,15,44,1362,44,5,44,250,44,475
45,0,45,11,45,6,45,6,45,14,45,1335,45,8,45,235,45,380
46,0,46,14,46,8,46,5,46,28,46,1371,46,5,46,230,46,264
47,0,47,17,47,5,47,2,47,24,47,1321,47,5,47,219,47,242
48,0,48,13,48,5,48,3,48,11,48,1379,48,10,48,217,48,384
49,0,49,12,49,8,49,5,49,15,49,1402,49,5,49,223,49,729
50,1,50,11,50,6,50,4,50,16,50,1340,50,3,50,227,50,1107
51,0,51,11,51,6,51,0,51,10,51,1458,51,7,51,212,51,1291
52,1,52,10,52,1,52,3,52,3,52,1438,52,6,52,236,52,1161
53,0,53,8,53,6,53,2,53,10,53,1396,53,4,53,194,53,850
54,0,54,11,54,8,54,6,54,2,54,1432,54,5,54,200,54,509
55,0,55,8,55,3,55,5,55,10,55,1383,55,3,55,210,55,309
56,0,56,4,56,9,56,6,56,8,56,1489,56,4,56,219,56,151
57,0,57,6,57,3,57,2,57,7,57,1475,57,6,57,225,57,91
58,0,58,5,58,2,58,7,58,3,58,1403,58,2,58,195,58,48
59,0,59,10,59,5,59,3,59,5,59,1438,59,3,59,227,59,15
60,0,60,2,60,3,60,1,60,9,60,1469,60,2,60,230,60,13
61,0,61,9,61,3,61,3,61,7,61,1440,61,2,61,232,61,8
62,0,62,7,62,4,62,2,62,8,62,1426,62,3,62,217,62,8
63,0,63,5,63,3,63,3,63,3,63,1419,63,4,63,208,63,2
64,0,64,7,64,2,64,2,64,5,64,1349,64,4,64,222,64,5
65,1,65,2,65,1,65,2,65,4,65,1238,65,3,65,216,65,1
66,0,66,5,66,5,66,2,66,6,66,1099,66,5,66,206,66,2
67,0,67,2,67,2,67,2,67,4,67,1028,67,2,67,222,67,4
68,0,68,10,68,7,68,0,68,3,68,882,68,3,68,200,68,4
69,0,69,3,69,5,69,3,69,6,69,748,69,3,69,188,69,3
70,0,70,1,70,2,70,4,70,7,70,680,70,7,70,223,70,2
71,0,71,2,71,3,71,0,71,6,71,658,71,6,71,211,71,1
72,0,72,4,72,2,72,2,72,11,72,621,72,6,72,231,72,10
73,0,73,2,73,3,73,3,73,2,73,600,73,5,73,208,73,4
