n#1,N#1,n#2,N#2
0,0,0,0
1,15,1,6
2,39,2,36
3,44,3,54
4,47,4,55
5,75,5,67
6,76,6,79
7,87,7,98
8,109,8,84
9,102,9,103
10,132,10,131
11,224,11,193
12,379,12,389
13,330,13,323
14,268,14,237
15,187,15,211
16,200,16,174
17,166,17,191
18,163,18,169
19,184,19,154
20,187,20,148
21,161,21,147
22,175,22,139
23,163,23,116
24,150,24,134
25,113,25,125
26,128,26,139
27,132,27,124
28,138,28,128
29,142,29,136
30,184,30,161
31,196,31,159
32,215,32,197
33,240,33,139
34,231,34,122
35,170,35,136
36,155,36,108
37,119,37,92
38,91,38,70
39,83,39,66
40,99,40,67
41,58,41,39
42,61,42,47
43,38,43,44
44,62,44,51
45,49,45,35
46,54,46,38
47,40,47,43
48,52,48,32
49,29,49,37
50,41,50,40
51,34,51,40
52,42,52,28
53,33,53,47
54,35,54,20
55,40,55,46
56,42,56,31
57,51,57,31
58,32,58,30
59,38,59,31
60,30,60,27
61,26,61,30
62,26,62,30
63,25,63,33
64,27,64,32
65,21,65,23
66,30,66,27
67,28,67,20
68,34,68,25
69,32,69,32
70,33,70,35
71,25,71,37
72,33,72,32
73,30,73,33
74,25,74,14
75,20,75,27
76,33,76,20
77,21,77,18
78,20,78,31
79,25,79,24
80,16,80,24
81,36,81,23
82,18,82,27
83,22,83,22
84,23,84,19
85,27,85,22
86,16,86,18
87,17,87,18
88,16,88,18
89,22,89,29
90,17,90,17
91,17,91,15
92,20,92,16
93,17,93,10
94,17,94,18
95,19,95,9
96,18,96,11
97,18,97,13
98,15,98,14
99,10,99,18
100,20,100,20
101,10,101,15
102,6,102,13
103,6,103,10
104,13,104,11
105,11,105,10
106,16,106,13
107,13,107,16
108,18,108,7
109,7,109,10
110,10,110,18
111,9,111,10
112,12,112,14
113,17,113,5
114,10,114,17
115,7,115,15
116,11,116,9
117,13,117,9
118,10,118,7
119,12,119,11
120,6,120,10
121,13,121,12
122,5,122,11
123,11,123,14
124,13,124,10
125,11,125,10
126,16,126,9
127,10,127,15
128,5,128,12
129,10,129,10
130,6,130,11
131,9,131,9
132,18,132,12
133,13,133,12
134,13,134,9
135,8,135,6
136,10,136,6
137,10,137,5
138,6,138,6
139,9,139,4
140,9,140,10
141,11,141,7
142,6,142,5
143,6,143,7
144,10,144,9
145,9,145,5
146,12,146,11
147,12,147,7
148,5,148,9
149,12,149,9
150,11,150,9
151,8,151,9
152,13,152,10
153,8,153,12
154,9,154,3
155,7,155,8
156,7,156,7
157,7,157,8
158,8,158,2
159,8,159,4
160,10,160,8
161,7,161,6
162,4,162,8
163,7,163,6
164,3,164,6
165,5,165,4
166,5,166,5
167,4,167,6
168,3,168,7
169,3,169,2
170,4,170,4
171,1,171,0
172,3,172,5
173,5,173,3
174,3,174,4
175,7,175,1
176,2,176,4
177,0,177,4
178,2,178,2
179,4,179,4
180,8,180,5
181,1,181,2
182,3,182,7
183,5,183,12
184,5,184,3
185,11,185,7
186,13,186,7
187,17,187,15
188,12,188,17
189,14,189,10
190,7,190,9
191,14,191,12
192,8,192,3
193,5,193,9
194,4,194,6
195,5,195,11
196,3,196,9
197,5,197,2
198,2,198,3
199,3,199,1
200,0,200,1
201,1,201,1
202,2,202,2
203,4,203,2
204,0,204,1
205,3,205,0
206,1,206,3
207,0,207,2
208,1,208,5
209,3,209,3
210,5,210,0
211,2,211,3
212,1,212,1
213,0,213,3
214,3,214,1
215,1,215,0
216,2,216,1
217,1,217,3
218,1,218,1
219,1,219,2
220,1,220,1
221,0,221,3
222,1,222,1
223,4,223,1
224,2,224,2
225,2,225,1
226,2,226,1
227,1,227,1
228,2,228,2
229,0,229,1
230,1,230,1
231,0,231,1
232,1,232,1
233,1,233,1
234,3,234,2
235,0,235,0
236,0,236,0
237,1,237,2
238,0,238,2
239,1,239,1
240,1,240,0
241,0,241,2
242,3,242,1
243,2,243,0
244,0,244,1
245,0,245,1
246,2,246,1
247,1,247,0
248,0,248,0
249,0,249,0
250,1,250,1
251,1,251,0
252,0,252,0
253,1,253,1
254,2,254,1
255,14,255,18
